"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
7.24827368123148,7.11533138394851,7.38121597851445,7.04495598282431,7.45159137963865
7.34257136674089,7.20962906945792,7.47551366402386,7.13925366833372,7.54588906514806
7.40303542539361,7.27009312811064,7.53597772267658,7.19971772698644,7.60635312380078
7.4826266517412,7.34968435445823,7.61556894902417,7.27930895333403,7.68594435014837
7.3691060108427,7.23616371355973,7.50204830812566,7.16578831243552,7.57242370924987
7.509720625899,7.37677832861603,7.64266292318197,7.30640292749183,7.71303832430617
7.47046256352014,7.33752026623717,7.6034048608031,7.26714486511296,7.67378026192731
7.51686660004071,7.38392430275775,7.64980889732368,7.31354890163354,7.72018429844789
7.35968260056974,7.22674030328677,7.49262489785271,7.15636490216257,7.56300029897691
7.58103503859241,7.44809274130945,7.71397733587538,7.37771734018524,7.78435273699959
7.59294630548249,7.46000400819952,7.72588860276546,7.38962860707532,7.79626400388966
7.69735703872661,7.56441474144364,7.83029933600957,7.49403934031943,7.90067473713378
7.36124947692118,7.22830717963821,7.49419177420414,7.157931778514,7.56456717532835
7.29377746844634,7.16083517116338,7.42671976572931,7.09045977003917,7.49709516685352
7.46017049594404,7.32722819866107,7.59311279322701,7.25685279753687,7.66348819435121
8.17259464663102,8.03965234934805,8.30553694391399,7.96927694822385,8.37591234503819
7.43542470037539,7.30248240309242,7.56836699765836,7.23210700196822,7.63874239878256
7.99484123353873,7.86189893625576,8.1277835308217,7.79152353513156,8.1981589319459
7.95927605373443,7.82633375645146,8.09221835101739,7.75595835532725,8.1625937521416
8.01717653757403,7.88423424029106,8.150118834857,7.81385883916686,8.2204942359812
7.11301158605927,6.9800692887763,7.24595388334224,6.9096938876521,7.31632928446644
7.61777282876841,7.48483053148544,7.75071512605138,7.41445513036124,7.82109052717558
8.67470216976964,8.54175987248667,8.80764446705261,8.47138447136247,8.87801986817681
8.69960222425572,8.56665992697275,8.83254452153869,8.49628452584855,8.90291992266289
7.91663633416605,7.78369403688308,8.04957863144902,7.71331863575888,8.11995403257322
7.84965582491165,7.71671352762868,7.98259812219461,7.64633812650447,8.05297352331882
8.06722522882189,7.93428293153892,8.20016752610485,7.86390753041472,8.27054292722906
8.06837537045279,7.93543307316982,8.20131766773576,7.86505767204562,8.27169306885996
7.73389362829513,7.60095133101217,7.8668359255781,7.53057592988796,7.93721132670231
7.85250435275924,7.71956205547627,7.98544665004221,7.64918665435207,8.05582205116641
7.79119117641053,7.65824887912756,7.9241334736935,7.58787347800336,7.9945088748177
8.01067202379805,7.87772972651508,8.14361432108102,7.80735432539088,8.21398972220522
