Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш издейм», по месяцам, 31.12.2017 — 30.01.2025, Ханты-Мансийский автономный округ - Югра, все устройства
декабрь 2017;3;0,00000411;
январь 2018;0;0;
февраль 2018;2;0,00000260;
март 2018;3;0,00000425;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;1;0,00000144;
сентябрь 2018;1;0,00000123;
октябрь 2018;20;0,00002638;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;2;0,00000235;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;1;0,00000085;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;1;0,00000102;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;1;0,00000085;
февраль 2022;0;0;
март 2022;0;0;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;0;0;
