Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Magadan District, all devices
December 2017;0;0;
January 2018;9;0,000274;
February 2018;1;0,000026;
March 2018;0;0;
April 2018;0;0;
May 2018;0;0;
June 2018;0;0;
July 2018;1;0,000034;
August 2018;0;0;
September 2018;0;0;
October 2018;0;0;
November 2018;0;0;
December 2018;0;0;
January 2019;0;0;
February 2019;0;0;
March 2019;0;0;
April 2019;0;0;
May 2019;0;0;
June 2019;0;0;
July 2019;0;0;
August 2019;0;0;
September 2019;0;0;
October 2019;0;0;
November 2019;0;0;
December 2019;0;0;
January 2020;0;0;
February 2020;0;0;
March 2020;0;0;
April 2020;0;0;
May 2020;0;0;
June 2020;0;0;
July 2020;0;0;
August 2020;0;0;
September 2020;0;0;
October 2020;0;0;
November 2020;1;0,000017;
December 2020;0;0;
January 2021;1;0,000018;
February 2021;0;0;
March 2021;0;0;
April 2021;0;0;
May 2021;0;0;
June 2021;0;0;
July 2021;0;0;
August 2021;0;0;
September 2021;0;0;
October 2021;0;0;
November 2021;0;0;
December 2021;2;0,000030;
January 2022;0;0;
February 2022;1;0,000013;
March 2022;1;0,000014;
April 2022;1;0,000013;
May 2022;2;0,000031;
June 2022;0;0;
July 2022;0;0;
August 2022;0;0;
September 2022;0;0;
October 2022;0;0;
November 2022;0;0;
December 2022;0;0;
January 2023;0;0;
February 2023;1;0,000013;
March 2023;0;0;
April 2023;0;0;
May 2023;1;0,000016;
June 2023;0;0;
July 2023;0;0;
August 2023;0;0;
September 2023;1;0,000014;
October 2023;0;0;
November 2023;0;0;
December 2023;0;0;
January 2024;0;0;
February 2024;0;0;
March 2024;0;0;
April 2024;0;0;
May 2024;0;0;
June 2024;0;0;
July 2024;0;0;
August 2024;0;0;
September 2024;7;0,000105;
October 2024;1;0,000014;
November 2024;0;0;
