"Country","Year","Month","Variable","Value"
"Kyrgyzstan",2009,1,"Economic growth percent change in quarterly real GDP",0.89
"Kyrgyzstan",2009,1,"Industrial production annual percent change",-20.4
"Kyrgyzstan",2009,1,"Unemployment rate percent",2.9
"Kyrgyzstan",2009,2,"Economic growth percent change in quarterly real GDP",-2.51
"Kyrgyzstan",2009,2,"Industrial production annual percent change",-24.7
"Kyrgyzstan",2009,2,"Unemployment rate percent",2.9
"Kyrgyzstan",2009,3,"Economic growth percent change in quarterly real GDP",-1.41
"Kyrgyzstan",2009,3,"Industrial production annual percent change",-19.2
"Kyrgyzstan",2009,3,"Unemployment rate percent",2.9
"Kyrgyzstan",2009,4,"Economic growth percent change in quarterly real GDP",-0.49
"Kyrgyzstan",2009,4,"Industrial production annual percent change",-16
"Kyrgyzstan",2009,4,"Unemployment rate percent",2.9
"Kyrgyzstan",2009,5,"Economic growth percent change in quarterly real GDP",-1.26
"Kyrgyzstan",2009,5,"Industrial production annual percent change",-20.2
"Kyrgyzstan",2009,5,"Unemployment rate percent",2.9
"Kyrgyzstan",2009,6,"Economic growth percent change in quarterly real GDP",-0.69
"Kyrgyzstan",2009,6,"Industrial production annual percent change",-18.8
"Kyrgyzstan",2009,6,"Unemployment rate percent",2.9
"Kyrgyzstan",2009,7,"Economic growth percent change in quarterly real GDP",0.43
"Kyrgyzstan",2009,7,"Industrial production annual percent change",-14.1
"Kyrgyzstan",2009,7,"Unemployment rate percent",2.8
"Kyrgyzstan",2009,8,"Economic growth percent change in quarterly real GDP",2.37
"Kyrgyzstan",2009,8,"Industrial production annual percent change",-12.5
"Kyrgyzstan",2009,8,"Unemployment rate percent",2.8
"Kyrgyzstan",2009,9,"Economic growth percent change in quarterly real GDP",1.91
"Kyrgyzstan",2009,9,"Industrial production annual percent change",-11.4
"Kyrgyzstan",2009,9,"Unemployment rate percent",2.7
"Kyrgyzstan",2009,10,"Economic growth percent change in quarterly real GDP",2.33
"Kyrgyzstan",2009,10,"Industrial production annual percent change",-13.6
"Kyrgyzstan",2009,10,"Unemployment rate percent",2.7
"Kyrgyzstan",2009,11,"Economic growth percent change in quarterly real GDP",2.03
"Kyrgyzstan",2009,11,"Industrial production annual percent change",-11.3
"Kyrgyzstan",2009,11,"Unemployment rate percent",2.7
"Kyrgyzstan",2009,12,"Economic growth percent change in quarterly real GDP",2.89
"Kyrgyzstan",2009,12,"Industrial production annual percent change",-6.4
"Kyrgyzstan",2009,12,"Unemployment rate percent",2.5
"Kyrgyzstan",2010,1,"Economic growth percent change in quarterly real GDP",15.71
"Kyrgyzstan",2010,1,"Industrial production annual percent change",72
"Kyrgyzstan",2010,1,"Unemployment rate percent",2.6
"Kyrgyzstan",2010,2,"Economic growth percent change in quarterly real GDP",16.97
